,belongs_to_collection,budget,genres,homepage,original_language,popularity,production_companies,production_countries,runtime,spoken_languages,title,vote_average,vote_count,year,day,month,cast,cast_size,crew_size,director
933,,1500000.0,"['Comedy', 'Drama']",,en,8.168694,['Columbia Pictures'],['United States of America'],129.0,1,Mr. Smith Goes to Washington,7.9,245.0,1939.0,Thu,Oct,"['James Stewart', 'Jean Arthur', 'Claude Rains', 'Edward Arnold', 'Guy Kibbee', 'Thomas Mitchell', 'Eugene Pallette', 'Beulah Bondi', 'Colin James Mackey', 'Harry Carey', 'H.B. Warner', 'Grant Mitchell', 'Pierre Watkin', 'Porter Hall', 'Astrid Allwyn', 'Ruth Donnelly', 'Charles Lane', 'William Demarest', 'Dick Elliott', 'Russell Simpson', 'Delmar Watson', 'John Russell', 'Frances Gifford', 'Larry Simms', 'Billy Watson', 'Harry Watson', 'Garry Watson', 'Wilson Benge', 'Dickie Jones', 'H.V. Kaltenborn', 'Erville Alderson', 'Frank Puglia', 'Maurice Cass', 'Stanley Andrews', 'Al Bridge', 'Edwin August', 'Edmund Cobb', 'Sam Ash', 'Harry A. Bailey', 'Stanley Mack', 'Brooks Benedict', 'Wade Boteler', 'Dorothy Comingore', 'Chester Conklin', 'Gino Corrado', 'Ann Doran', 'Robert Emmett Keane', 'Matt McHugh', 'Kathryn Bates', 'Frank Austin', 'William Arnold', 'Tommy Baker', 'Robert Sterling', 'Dub Taylor', 'George Chandler', ""Fred 'Snowflake' Toones"", 'Jack Carson', 'Tommy Bupp', 'Dora Clement', 'Bert Moorhouse', 'Harry C. Bradley', 'Lynton Brent', 'Ed Brewer', 'Harlan Briggs', 'Harry Burkhardt', 'Frederick Burton', 'Georgia Caine', 'Ken Carpenter', 'Burr Caruth', 'Allan Cavan', 'Eddy Chandler', 'Davison Clark', 'Richard Clucas', 'Shirley Coates', 'Eddie Coke', 'Hal Cooke', 'Alec Craig', 'Anne Cornwall', 'George Cooper', 'Georgie Cooper', 'Jack Cooper', 'Nick Copeland', 'Vernon Dent', 'Maurice Costello', 'Beatrice Curtis', 'Lew Davis', 'Dulcie Day', 'Wally Dean', 'Harry Depp', 'Byron Foulger', 'Helen Jerome Eddy', 'Douglas Evans', 'Joe Devlin', 'Clyde Dilson', 'John Dilson', 'Neal Dodd', 'Lester Dorr', 'Robert Dudley', 'Edward Earle', 'Jack Egan', 'Eddie Fetherston', 'Mabel Forrest', 'Gladys Gale', 'Jack Gardner', 'Mary Gordon', 'June Gittelson', 'Lorna Gray', 'Harry Hayden', 'Louis Jean Heydt', 'John Ince', 'Frank Jaquet', 'Philo McCullough', 'Wright Kramer', 'Henry Hebert', 'Fred Hoose', 'Richard Kipling', 'Roger Haliday', 'Wilfred Hari', 'Philip Hurlic', 'Olaf Hytten', 'Lloyd Ingraham', 'Mitchell Ingraham', 'Dick Jensen', 'John Lester Johnson', 'Eddie Kane', 'Donald Kerr', 'Milton Kibbee', 'Joe King', 'Evalyn Knapp', 'Paul Kruger', 'Bobby Larson', 'Billy Lechner', 'Jackie Lowe', 'P.H. Levy', 'Vera Lewis', 'Jack Lindquist', 'George Lloyd', 'Arthur Loft', 'Jack Low', 'Jimmie Lucas', 'Mary MacLaren', 'Hank Mann', 'Margaret Mann', 'Eric Mayne', 'Ralph McCullough', 'George McKay', 'Lafe McKee', 'Ben Taggart', 'Field Norton', 'Wilfred Lucas', 'Sammy McKim', 'James McNamara', 'William Newell', 'Robert Middlemass', 'James Millican', 'Howard M. Mitchell', 'Charles R. Moore', 'Gene Morgan', 'Robert Morgan', 'Ray Nichols', 'Alex Novinsky', ""Frank O'Connor"", 'Frank Otto', 'Joe Palma', 'Spencer Quinn', 'Tom Quinn', 'Ed Randolph', 'Charles Regan', 'Jack Rice', 'Wyndham Standing', 'Ferris Taylor', 'Jack Richardson', 'Walter Soderling', 'Harry Stafford', 'Victor Travers', 'Carl Stockdale', 'Robert Walker', 'Henry Roquemore', 'Craig Stevens', 'Paul Stanton', 'Johnny Russell', 'Walter Sande', 'Frank M. Thomas', 'Harry Strang', 'Harry Tenbrook', 'Dave Willock', 'Lloyd Whitlock', 'John Tyrrell', 'Frederick Vroom', 'Charles Sullivan', 'Arthur Thalasso', 'Edward Thomas', 'Laura Treadwell', 'Layne Tom Jr.', 'Myonne Walsh', 'Billy Wayne', 'Max Waizmann', 'John Ward', 'Jane Loofbourrow', 'Blanche Payson', 'Emma Tansey', 'Bess Wade', 'Florence Wix', 'Eleanor Wood', 'Jesse Graves', 'Gus Glassmire', 'Larry Steers', 'Landers Stevens', 'William Worthington', 'Edward Biby', 'Count Stefenelli', 'David Wade', 'Frank McLure']",213,30,Frank Capra
947,"{'id': 261590, 'name': 'Living Dead Collection', 'poster_path': '/mSJ20RTWWgtt3aTyn1iwNZ9fbYl.jpg', 'backdrop_path': '/inPPfnJ9Wzc9rg1MpkPm0P3D9rJ.jpg'}",114000.0,['Horror'],,en,14.384198000000001,"['Laurel Group', 'Off Color Films', 'Image Ten', 'Market Square Productions']",['United States of America'],96.0,1,Night of the Living Dead,7.5,591.0,1968.0,Tue,Oct,"['Duane Jones', ""Judith O'Dea"", 'Karl Hardman', 'Marilyn Eastman', 'Keith Wayne', 'Judith Ridley', 'Kyra Schon', 'Charles Craig', 'S. William Hinzman', ""Bill 'Chilly Billy' Cardille"", 'George A. Romero', 'Russell Streiner', 'John A. Russo']",13,7,George A. Romero
948,,1300000.0,"['Adventure', 'War', 'Romance']",,en,6.636872,"['United Artists', 'Independent Film Distributors', 'Romulus Films']","['United Kingdom', 'United States of America']",105.0,3,The African Queen,7.4,232.0,1951.0,Mon,Dec,"['Humphrey Bogart', 'Katharine Hepburn', 'Robert Morley', 'Peter Bull', 'Theodore Bikel', 'Walter Gotell', 'Peter Swanwick', 'Richard Marner']",8,14,John Huston
950,,3000000.0,"['Drama', 'Romance']",,en,11.794846000000001,"['Avon Production', 'Metro-Goldwyn-Mayer (MGM)']",['United States of America'],108.0,1,Cat on a Hot Tin Roof,7.6,168.0,1958.0,Mon,Feb,"['Elizabeth Taylor', 'Paul Newman', 'Burl Ives', 'Judith Anderson', 'Jack Carson', 'Madeleine Sherwood', 'Vaughn Taylor', 'Larry Gates', 'Zelda Cleaver', 'Brian Corcoran', ""Robert 'Rusty' Stevens"", 'Hugh Corcoran']",12,15,Richard Brooks
955,,4.0,"['Drama', 'Romance', 'War']",,en,1.914697,['Paramount Pictures'],['United States of America'],89.0,1,A Farewell to Arms,6.2,29.0,1932.0,Thu,Dec,"['Helen Hayes', 'Gary Cooper', 'Adolphe Menjou', 'Mary Philips', 'Jack La Rue', 'Blanche Friderici', 'Mary Forbes', 'Gilbert Emery', 'Agostino Borgato']",9,25,Frank Borzage
956,,4.0,"['Drama', 'Romance', 'War']",,en,1.914697,['Paramount Pictures'],['United States of America'],89.0,1,A Farewell to Arms,6.2,29.0,1932.0,Thu,Dec,"['Helen Hayes', 'Gary Cooper', 'Adolphe Menjou', 'Mary Philips', 'Jack La Rue', 'Blanche Friderici', 'Mary Forbes', 'Gilbert Emery', 'Agostino Borgato']",9,25,Frank Borzage
957,,4.0,"['Drama', 'Romance', 'War']",,en,2.411191,['Paramount Pictures'],['United States of America'],89.0,1,A Farewell to Arms,6.2,29.0,1932.0,Thu,Dec,"['Helen Hayes', 'Gary Cooper', 'Adolphe Menjou', 'Mary Philips', 'Jack La Rue', 'Blanche Friderici', 'Mary Forbes', 'Gilbert Emery', 'Agostino Borgato']",9,25,Frank Borzage
958,,4.0,"['Drama', 'Romance', 'War']",,en,2.411191,['Paramount Pictures'],['United States of America'],89.0,1,A Farewell to Arms,6.2,29.0,1932.0,Thu,Dec,"['Helen Hayes', 'Gary Cooper', 'Adolphe Menjou', 'Mary Philips', 'Jack La Rue', 'Blanche Friderici', 'Mary Forbes', 'Gilbert Emery', 'Agostino Borgato']",9,25,Frank Borzage
971,,25000000.0,"['Action', 'Adventure', 'Thriller']",,en,7.370163000000001,['Columbia Pictures'],['United States of America'],100.0,1,Maximum Risk,5.3,104.0,1996.0,Fri,Sep,"['Jean-Claude Van Damme', 'Natasha Henstridge', 'Jean-Hugues Anglade', 'Zach Grenier', 'Paul Ben-Victor', 'Frank Senger', 'Dan Moran', 'Donald Burda', 'Stefanos Miltsakakis', 'Frank Van Keeken', 'David Hemblen', 'Rob Kaman', 'Herb Lovelle', 'Albert Schultz', 'Branko Racki', 'Kamel Krifa', 'Brian Jagersky', 'Irene Pauzer', 'Carlo Rota', 'Joe Pingue', 'Hugh Thompson', 'Gloria Slade', 'Jackie Richardson', 'Ed Sahely', 'Dan Duran', 'Raymond Accolas', 'Kedar Brown', 'Claire Cellucci', 'John Bayliss', 'Henry Gomez', 'John Nelles', 'Kevin Rushton', 'Sharon Bernbaum', 'David Christoffel', 'James Millington', 'Edward A. Queffelec', 'Ron Van Hart', 'Brian Kaulback']",38,23,Ringo Lam
972,,28000000.0,"['Drama', 'Thriller']",,en,6.728199000000001,"['Geffen Pictures', 'Warner Bros.']","['Ireland', 'United Kingdom']",132.0,1,Michael Collins,6.8,98.0,1996.0,Fri,Oct,"['Liam Neeson', 'Aidan Quinn', 'Stephen Rea', 'Alan Rickman', 'Julia Roberts', 'Ian Hart', 'Brendan Gleeson', 'Stuart Graham', 'Sean McGinley', 'Charles Dance', 'Michael Dwyer', 'Tom Murphy', 'Martin Murphy', 'Mike Dwyer', ""Jer O'Leary"", 'Gerard McSorley', 'Owen Roe', 'David Wilmot', 'Aidan Kelly', 'Jonathan Rhys Meyers', 'Gary Whelan', 'Ian McElhinney']",22,15,Neil Jordan
976,,67000000.0,"['Action', 'Crime', 'Drama', 'Thriller']",,en,11.845918,"['New Line Cinema', 'Metropolitan Filmexport']",['United States of America'],101.0,1,Last Man Standing,6.2,263.0,1996.0,Fri,Sep,"['Bruce Willis', 'Bruce Dern', 'William Sanderson', 'Christopher Walken', 'David Patrick Kelly', 'Karina Lombard', 'Ned Eisenberg', 'Alexandra Powers', 'Michael Imperioli', 'Ken Jenkins', 'R. D. Call', 'Ted Markland', 'Leslie Mann', 'Patrick Kilpatrick', 'Luis Contreras', 'Raynor Scheine', 'Tiny Ron Taylor', 'John Paxton', 'Michael Cavalieri', 'Hannes Fritsch', 'Michael Strasser', ""Matt O'Toole"", 'Lin Shaye', 'Larry Holt', 'Dean Rader Duval']",25,18,Walter Hill
978,,9000000.0,"['Drama', 'Action', 'Crime']",http://www.newline.com/properties/setitoff.html,en,6.85606,['New Line Cinema'],['United States of America'],118.0,1,Set It Off,6.9,66.0,1996.0,Wed,Nov,"['Jada Pinkett Smith', 'Queen Latifah', 'Vivica A. Fox', 'Kimberly Elise', 'Blair Underwood', 'John C. McGinley', 'Ella Joyce', 'Charles Robinson', 'Dr. Dre', 'WC', 'F. Gary Gray', 'Mark Thompson', 'Geoff Callan', 'Natalie Desselle', 'Thomas Jefferson Byrd', 'Chaz Lamar Shepherd', 'Samuel Monroe Jr.']",17,10,F. Gary Gray
980,,2300000.0,"['Comedy', 'Crime', 'Thriller']",,en,2.781581,['Tinderbox Films'],['United States of America'],88.0,2,Curdled,6.2,29.0,1996.0,Fri,Sep,"['Bruce Ramsay', 'William Baldwin', 'Lois Chiles', 'Barry Corbin', 'Mel Gorham', 'Angela Jones', 'Vivienne Sendaydiego', 'Sandra Thigpen', 'Kelly Preston', 'Caridad Ravelo', 'Carmen López', 'Daisy Fuentes', 'Lupita Ferrer', 'Nattacha Amador', 'Therese Marie Gutierrez', 'Charles Tucker', 'Allysa Tacher', 'Sabrina Cowan', 'Nicoll Bacharach', 'Jay Arnor', 'Quentin Tarantino', 'George Clooney']",22,16,Reb Braddock
983,,38000000.0,"['Drama', 'Thriller']",,en,4.990506,"['Columbia Pictures', 'Castle Rock Entertainment', 'Simian Films']",['United States of America'],118.0,1,Extreme Measures,5.7,80.0,1996.0,Fri,Sep,"['Hugh Grant', 'Gene Hackman', 'Sarah Jessica Parker', 'David Morse', 'Bill Nunn', 'John Toles-Bey', 'Paul Guilfoyle', 'Debra Monk', 'Shaun Austin-Olsen', 'André De Shields', 'J.K. Simmons', 'Peter Appel', 'Diana Zimmer', 'Nancy Beatty', 'Gerry Becker', 'Gene Ruffini', 'Bill MacDonald', 'Garnet Harding', 'Simon Reynolds', 'Derwin Jordan', 'Tara Rosling', 'Martin Roach', 'Bernard Browne', 'Sanjay Talwar', 'Christina Collins', 'Arlene Duncan', 'Cheryl Swarts', 'Peter Maloney', 'Johnie Chase', 'Noam Jenkins', 'Larissa Laskin', 'Phallon Carpino', 'Ross Petty', 'Todd Stewart', 'Lawrence Arancio', 'Vincent Marino', 'Marcia DeBonis', 'John Ventimiglia', 'John Heffernan', 'Raynor Scheine', 'John Trudell', 'Nelson Vasquez', 'Vincent Laresca', 'Denis Akiyama', 'Kim Roberts', 'Gerry Quigley', 'Teresa Yenque', 'Chris Edwards', 'David Eisner', 'Dana Stevens', 'Michael J. Reynolds', 'David Cronenberg', 'Jackie Richardson', 'Marium Carvell', 'Marilyn McDonald']",55,7,Michael Apted
986,,50000000.0,"['Crime', 'Drama']",,en,3.9984940000000004,"['Imagine Entertainment', 'Universal Pictures', 'Davis Entertainment']",['United States of America'],113.0,2,The Chamber,5.9,62.0,1996.0,Fri,Oct,"[""Chris O'Donnell"", 'Gene Hackman', 'Faye Dunaway', 'Robert Prosky', 'Lela Rochon', 'Bo Jackson', 'Millie Perkins', 'David Marshall Grant', 'Raymond J. Barry', 'Nicholas Pryor', 'Richard Bradford', 'Harve Presnell', 'Josef Sommer', 'Jane Kaczmarek', 'Seth Isler', 'Greg Elam']",16,11,James Foley
999,,5000000.0,"['Adventure', 'Drama', 'Science Fiction']",,en,8.722406,['Walt Disney Productions'],['United States of America'],127.0,1,"20,000 Leagues Under the Sea",6.9,160.0,1954.0,Thu,Dec,"['Kirk Douglas', 'James Mason', 'Paul Lukas', 'Peter Lorre', 'Robert J. Wilke', 'Ted de Corsia', 'Carleton Young', 'J. M. Kerrigan', 'Percy Helton', 'Ted Cooper', 'Gloria Pall', 'Ron Nyman', 'Fred Graham', 'Harry Harvey', 'Charles Grodin', 'Harper Goff', 'Eddie Marr', 'Jack Gargan', 'John Daheim', 'Jack Stoney']",20,11,Richard Fleischer
1000,,14000000.0,['Comedy'],,en,8.307210000000001,['Walt Disney'],['United States of America'],98.0,4,Cool Runnings,6.8,510.0,1993.0,Thu,Sep,"['Leon Robinson', 'Doug E. Doug', 'Rawle D. Lewis', 'Malik Yoba', 'John Candy', 'Raymond J. Barry', 'Peter Outerbridge', 'Paul Coeur', 'Larry Gilman', 'Kristoffer Cooper', 'Charles Hyatt', 'Winston Stona', 'Bertina Macauley', 'Pauline Stone Myrie', 'Bill Dow']",15,13,Jon Turteltaub
1002,"{'id': 55419, 'name': 'Cinderella Collection', 'poster_path': '/ouN0BQzHKOqK03d9qKXP7JOgQdt.jpg', 'backdrop_path': '/yNq1UsclAyXaQGhXVSDoyS9wpFo.jpg'}",2900000.0,"['Family', 'Fantasy', 'Animation', 'Romance']",http://movies.disney.com/cinderella-1950,en,14.436857999999999,"['RKO Radio Pictures', 'Walt Disney Productions']",['United States of America'],74.0,1,Cinderella,6.8,1760.0,1950.0,Sat,Mar,"['Ilene Woods', 'Eleanor Audley', 'Lucille Bliss', 'Verna Felton', 'Helene Stanley', 'James MacDonald', 'Luis van Rooten', 'Don Barclay', 'Claire Du Brey', 'Rhoda Williams', 'Marion Darlington']",11,50,Clyde Geronimi
1005,,3000000.0,"['Animation', 'Family']",,en,10.636458,['Walt Disney Productions'],['United States of America'],79.0,1,The Sword in the Stone,6.9,935.0,1963.0,Wed,Dec,"['Sebastian Cabot', 'Karl Swenson', 'Junius Matthews', 'Norman Alden', 'Rickie Sorensen', 'Ginny Tyler', 'Martha Wentworth', 'Alan Napier', 'Richard Reitherman', 'Robert Reitherman']",10,13,Wolfgang Reitherman
1007,,48000000.0,['Adventure'],,en,10.639244,"['Warner Bros.', 'Morgan Creek Productions']",['United States of America'],143.0,1,Robin Hood: Prince of Thieves,6.6,937.0,1991.0,Fri,Jun,"['Kevin Costner', 'Morgan Freeman', 'Christian Slater', 'Mary Elizabeth Mastrantonio', 'Alan Rickman', 'Geraldine McEwan', 'Michael McShane', 'Brian Blessed', 'Michael Wincott', 'Nick Brimble', 'Soo Drouet', 'Sean Connery', 'Bryan Adams', 'Daniel Peacock', 'Walter Sparrow', 'Harold Innocent', 'Jack Wild', 'Howard Lew Lewis', 'John Hallam', 'Pat Roach', 'Derek Deadman', 'John Tordoff', 'Michael Goldie', 'Liam Halligan', 'Marc Zuber', 'Merelina Kendall', 'Imogen Bain', 'Jimmy Gardner', 'Bobby Parr', 'Douglas Blackwell', 'Andy Hockley', 'Christopher Adamson', 'Richard Strange', 'Susannah Corbett', 'Daniel Newman']",35,9,Kevin Reynolds
1008,,6000000.0,"['Comedy', 'Family', 'Fantasy']",,en,15.11549,['Walt Disney Productions'],['United States of America'],139.0,1,Mary Poppins,7.4,1217.0,1964.0,Thu,Aug,"['Julie Andrews', 'Dick Van Dyke', 'David Tomlinson', 'Glynis Johns', 'Hermione Baddeley', 'Reta Shaw', 'Karen Dotrice', 'Matthew Garber', 'Elsa Lanchester', 'Arthur Treacher', 'Reginald Owen', 'Ed Wynn', 'Jane Darwell', 'Arthur Malet', 'James Logan', 'Don Barclay', 'Alma Lawton', 'Marjorie Eaton', 'Marjorie Bennett', 'Larri Thomas']",20,16,Robert Stevenson
1009,,812000.0,"['Animation', 'Family']",,en,14.655879,"['RKO Radio Pictures', 'Walt Disney Productions']",['United States of America'],64.0,1,Dumbo,6.8,1206.0,1941.0,Wed,Oct,"['Sterling Holloway', 'Herman Bing', 'John McLeish', 'Edward Brophy', 'James Baskett', 'Billy Bletcher', 'Jim Carmichael', 'Cliff Edwards', 'Verna Felton', 'Noreen Gammill', 'Eddie Holden', 'Malcolm Hutton', ""The King's Men"", 'Harold Manley']",14,16,Samuel Armstrong
1011,,20000000.0,"['Adventure', 'Fantasy', 'Animation', 'Comedy', 'Family', 'Music']",,en,10.362012,['Walt Disney Productions'],['United States of America'],117.0,1,Bedknobs and Broomsticks,6.8,260.0,1971.0,Thu,Oct,"['Angela Lansbury', 'David Tomlinson', 'Roddy McDowall', 'Sam Jaffe', 'John Ericson', 'Bruce Forsyth', ""Cindy O'Callaghan"", 'Roy Snart', 'Ian Weighill', ""Tessie O'Shea"", 'Arthur Gould-Porter', 'Ben Wrigley', 'Reginald Owen', 'Cyril Delevanti', 'Rick Traeger']",15,10,Robert Stevenson
1012,,3000000.0,"['Animation', 'Adventure', 'Family', 'Fantasy']",,en,16.488937,"['RKO Radio Pictures', 'Walt Disney Productions']",['United States of America'],75.0,1,Alice in Wonderland,7.0,1557.0,1951.0,Tue,Jul,"['Kathryn Beaumont', 'Verna Felton', 'Ed Wynn', 'Richard Haydn', 'Sterling Holloway', 'Jerry Colonna', ""J. Pat O'Malley"", 'Bill Thompson', 'Heather Angel', 'Joseph Kearns', 'Larry Grey', 'Queenie Leonard', 'Dink Trout', 'Doris Lloyd', 'James MacDonald']",15,30,Hamilton Luske
1013,"{'id': 100970, 'name': 'The Fox and the Hound Collection', 'poster_path': '/ph2KiQxp8xmgA5ENoBhETvJnYw9.jpg', 'backdrop_path': '/fEix7vMN09DUvt7nHh9qFwN9Op9.jpg'}",12000000.0,"['Adventure', 'Animation', 'Drama', 'Family']",http://movies.disney.com/the-fox-and-the-hound,en,10.197106,['Walt Disney Productions'],['United States of America'],82.0,1,The Fox and the Hound,7.0,884.0,1981.0,Fri,Jul,"['Mickey Rooney', 'Kurt Russell', 'Pearl Bailey', 'Jack Albertson', 'Sandy Duncan', 'Jeanette Nolan', 'Pat Buttram', 'John Fiedler', 'John McIntire', 'Richard Bakalyan', 'Paul Winchell', 'Keith Coogan', 'Corey Feldman']",13,39,Ted Berman
1015,,8200000.0,"['Drama', 'Family', 'Music', 'Romance']",,en,9.067730000000001,"['Twentieth Century Fox Film Corporation', 'Robert Wise Productions', 'Argyle Enterprises']",['United States of America'],174.0,3,The Sound of Music,7.4,966.0,1965.0,Tue,Mar,"['Julie Andrews', 'Christopher Plummer', 'Eleanor Parker', 'Richard Haydn', 'Peggy Wood', 'Charmian Carr', 'Heather Menzies', 'Nicholas Hammond', 'Duane Chase', 'Angela Cartwright', 'Debbie Turner', 'Kym Kareth', 'Anna Lee', 'Portia Nelson', 'Ben Wright', 'Daniel Truhitte', 'Norma Varden', 'Gilchrist Stuart', 'Marni Nixon', 'Evadne Baker', 'Doris Lloyd']",21,18,Robert Wise
1016,"{'id': 1570, 'name': 'Die Hard Collection', 'poster_path': '/dQP1lu4tBtCiAMeCRcuTFpJiM7y.jpg', 'backdrop_path': '/5kHVblr87FUScuab1PVSsK692IL.jpg'}",28000000.0,"['Action', 'Thriller']",,en,16.640522,"['Twentieth Century Fox Film Corporation', 'Gordon Company', 'Silver Pictures']",['United States of America'],131.0,3,Die Hard,7.5,4005.0,1988.0,Fri,Jul,"['Bruce Willis', 'Alan Rickman', 'Alexander Godunov', 'Bonnie Bedelia', 'Reginald VelJohnson', 'Paul Gleason', ""De'voreaux White"", 'William Atherton', 'Clarence Gilyard Jr.', 'Hart Bochner', 'James Shigeta', 'Bruno Doyon', 'Andreas Wisniewski', 'Joey Plewa', 'Lorenzo Caccialanza', 'Gerard Bonn', 'Dennis Hayden', 'Al Leong', 'Gary Roberts', 'Hans Buhringer', 'Wilhelm von Homburg', 'Robert Davi', 'Grand L. Bush', 'Tracy Reiner', 'Taylor Fry', 'Noah Land', 'Bill Marcus', 'Rick Ducommun', 'Matt Landers', 'Carmine Zozzora', 'George Christy', 'Anthony Peck', 'David Ursin', 'Mary Ellen Trainor', 'Selma Archerd', 'Rebecca Broussard', 'Kym Malin', 'Betty Carvalho', 'Kip Waldo', 'Rick Cicetti', 'Bob Jennings', 'David Katz', 'Robert Lesser', 'Stella Hall', 'Terri Lynn Doss', 'Charlie Picerni', 'Mark Winn']",47,75,John McTiernan
1017,"{'id': 124935, 'name': 'The Lawnmower Man Collection', 'poster_path': '/slBKrKBbL1g3KURphhAYIyOOH0G.jpg', 'backdrop_path': '/id05z92s8Pwc2wbR9YAKngGqOyP.jpg'}",10000000.0,"['Horror', 'Thriller', 'Science Fiction']",,en,6.685948,"['New Line Cinema', 'Allied Vision']","['United Kingdom', 'Japan', 'United States of America']",108.0,1,The Lawnmower Man,5.4,198.0,1992.0,Thu,Mar,"['Jeff Fahey', 'Pierce Brosnan', 'Jenny Wright', 'Mark Bringelson', 'Geoffrey Lewis', 'Jeremy Slate', 'Dean Norris', 'Colleen Coffey', 'Troy Evans', ""Austin O'Brien"", 'John Laughlin']",11,11,Brett Leonard
1021,,4500000.0,['Drama'],,en,11.223572,"['Channel Four Films', 'October Films', 'CiBy 2000', 'Thin Man Films']","['United Kingdom', 'France']",142.0,1,Secrets & Lies,7.1,127.0,1996.0,Fri,May,"['Timothy Spall', 'Brenda Blethyn', 'Marianne Jean-Baptiste', 'Phyllis Logan', 'Claire Rushbrook', 'Lee Ross', 'Lesley Manville', 'Elizabeth Berrington', 'Michele Austin', 'Ron Cook', 'Trevor Laird', 'Brian Bovell', 'Emma Amos', 'Clare Perkins', 'Elias Perkins McCook', 'Jane Mitchell', 'Janice Acquah', 'Keylee Jade Flanders', 'Hannah Davis', 'Terence Harvey', ""Kate O'Malley"", 'Joe Tucker', 'Richard Syms', 'Grant Masters', 'Annie Hayes', 'Jean Ainslie', 'Lucy Sheen', 'Frances Ruffelle', 'Nitin Ganatra', 'Metin Marlow', 'Su Elliott', 'Amanda Crossley', 'Di Sherlock', 'Stephen Churchett', 'David Neilson', 'Peter Waddington', 'Peter Stockbridge', 'Rachel Lewis', 'Paul Trussell', 'Jonny Coyne', 'Denise Orita', 'Margery Withers', 'Gordon Winter', 'Theresa Watson', 'Peter Wight', 'Gary McDonald', 'Alison Steadman', 'Liz Smith', 'Sheila Kelley', 'Angela Curran', 'Linda Beckett', 'Phil Davis', 'Wendy Nottingham', ""Anthony O'Donnell"", 'Ruth Sheen', 'Mia Soteriou']",56,6,Mike Leigh
1024,,16000000.0,"['Drama', 'Romance']",,en,2.167132,['Merchant Ivory Productions'],['United States of America'],125.0,2,Surviving Picasso,5.3,21.0,1996.0,Wed,Sep,"['Anthony Hopkins', 'Natascha McElhone', 'Julianne Moore', 'Joss Ackland', 'Joan Plowright']",5,17,James Ivory
1027,,65000000.0,"['Crime', 'Action', 'Mystery', 'Thriller']",,en,14.482345,"['New Line Cinema', 'Forge', 'The Steve Tisch Company']",['United States of America'],120.0,1,The Long Kiss Goodnight,6.4,323.0,1996.0,Fri,Oct,"['Geena Davis', 'Samuel L. Jackson', 'Yvonne Zima', 'Craig Bierko', 'Tom Amandes', 'Brian Cox', 'Patrick Malahide', 'David Morse', 'Joseph McKenna', 'Melina Kanakaredes', 'Rex Linn', 'Alan North', 'Dan Warry-Smith', 'Kristen Bone', 'Jennifer Pisana']",15,10,Renny Harlin
1028,,50000000.0,['Adventure'],,en,10.789928,"['Constellation Films', 'Paramount']","['Germany', 'United States of America']",109.0,1,The Ghost and the Darkness,6.4,238.0,1996.0,Fri,Oct,"['Michael Douglas', 'Val Kilmer', 'Tom Wilkinson', 'John Kani', 'Emily Mortimer', 'Bernard Hill', 'Brian McCardie', 'Om Puri', 'Henry Cele', 'Kurt Egelhof', 'Satchu Annamalai', 'Teddy Reddy', 'Raheem Khan', 'Jack Devnarain', 'Glen Gabela']",15,11,Stephen Hopkins
1033,,2400000.0,['Drama'],,en,5.2306610000000004,"['Columbia Pictures', '40 Acres & A Mule Filmworks']",['United States of America'],120.0,1,Get on the Bus,7.0,11.0,1996.0,Wed,Oct,"['Ossie Davis', 'Charles S. Dutton', 'Andre Braugher', 'Richard Belzer', ""De'Aundre Bonds"", 'Thomas Jefferson Byrd', 'Isaiah Washington', 'Bernie Mac', 'Wendell Pierce', 'Harry Lennix', 'Roger Guenveur Smith', 'Hill Harper', 'Gabriel Casseus', 'Steve White', 'Albert Hall', 'Kristen Wilson', 'Paula Jai Parker', 'Joie Lee']",18,2,Spike Lee
1034,,45000000.0,"['Action', 'Thriller']",,en,3.733574,"['Hollywood Pictures', 'Cinergi Pictures Entertainment']",['United States of America'],103.0,2,Shadow Conspiracy,4.0,12.0,1997.0,Fri,Jan,"['Charlie Sheen', 'Donald Sutherland', 'Linda Hamilton', 'Stephen Lang', 'Nicholas Turturro', 'Stanley Anderson', 'Theodore Bikel', 'Charles Cioffi', 'Paul Gleason', ""Terry O'Quinn"", 'Sam Waterston', 'Ben Gazzara', 'Gore Vidal', 'Henry Strozier', 'Dey Young']",15,3,George P. Cosmatos
1035,,7000000.0,"['Drama', 'Romance']",http://www.imdb.com/title/tt0116722/,en,3.3796769999999996,"['Revolution Films', 'PolyGram Filmed Entertainment', 'British Broadcasting Corporation (BBC)']",['United Kingdom'],123.0,2,Jude,6.6,38.0,1996.0,Tue,Feb,"['Kate Winslet', 'Christopher Eccleston', 'Liam Cunningham', 'Rachel Griffiths', 'June Whitfield', 'James Nesbitt', 'Vernon Dobtcheff', 'David Tennant', 'Paul Copley']",9,14,Michael Winterbottom
